email,group,promotional_email_subject,click
muhamatpamungkas54@coder.hu,treatment,personalization,1
fakhriahsyarifahihy@happypuppy.com,treatment,personalization,1
hamdiahm5l@kaazoo.com,control,generic,0
tutim@mailworks.org,control,generic,0
bulanlestari847@lexis-nexis-mail.com,treatment,personalization,0
biskrisna1hq@live.com.my,treatment,personalization,0
janurimochamad9fn@mail2travel.com,control,generic,0
kameliauz@deneg.net,control,generic,0
wahyua@hhdevel.com,control,generic,1
chairunnisaneneng9@domforfb1.tk,treatment,personalization,1
widiyantoaryoh@live.co.za,control,generic,0
sumitramemoir9h@nonpartisan.com,control,generic,0
alidallyjuz@cmpmail.com,treatment,personalization,0
ependih2@mail.austria.com,treatment,personalization,1
wahyuningsihxd@butch-femme.net,control,generic,0
shafak2b@3dmail.com,control,generic,0
novanlingga8@x5g.com,treatment,personalization,0
luqman7@spamgourmet.net,control,generic,0
nurhaliza@teletu.it,treatment,personalization,0
tsarinab@plus.com,control,generic,0
aqnessetyaningsih@mail2angela.com,control,generic,0
raihanahmasayud5l@mail2zurich.com,control,generic,0
agoengmuammarz@mail2samantha.com,control,generic,0
faridahtitikxeg@nz11.com,control,generic,0
zulfikrihy@mail2howard.com,control,generic,0
bachtiaryh@freemail.it,treatment,personalization,0
hapsah@tfanus.com.er,control,generic,0
darwiswx@daha.com,treatment,personalization,0
abas8@mail2wow.com,control,generic,1
aidah1c@n2baseball.com,control,generic,0
saifuddinbethariw@music.com,treatment,personalization,0
mahmudxd1@sanriotown.com,control,generic,0
khairuddinds@netexecutive.com,control,generic,0
amatb60@mail2lou.com,treatment,personalization,0
catury@photo-impact.eu,control,generic,0
sesar_@home.de,control,generic,0
akifah6@littleblueroom.com,treatment,personalization,0
rarungbw@goemailgo.com,control,generic,0
sudartoj@nepwk.com,treatment,personalization,1
eniv6c@mail15.com,control,generic,1
budiartowachidr@usa.com,control,generic,0
laksmiv@freeukisp.co.uk,treatment,personalization,0
hafizachintarajo1@qprfans.com,control,generic,1
afandi@mail2ride.com,control,generic,0
chalidmukhlisww@zipmail.com,control,generic,0
dillaqh@netc.lu,treatment,personalization,1
wayananisa5@mail2sagittarius.com,treatment,personalization,0
erwiana8l4@fake-mail.ml,treatment,personalization,0
mahfudzahfachriah23@mail2gordon.com,treatment,personalization,0
awanmoammardqx@city-of-westminster.net,treatment,personalization,1
harto@mail2billionaire.com,control,generic,0
khairul7d@thexyz.cn,treatment,personalization,0
azimahcitrask@deafemail.net,treatment,personalization,0
muchamadzulkifly1c@poste.it,control,generic,0
asepmarno@mail2helpdesk.com,treatment,personalization,0
naufalyt@mail2stan.com,control,generic,1
wirawani1m@hotmail.com.ar,control,generic,0
munawarnoerd1@facebookmail.com,control,generic,0
cahyonomp6@netmails.com,control,generic,0
larasati8@mail2lisa.com,control,generic,0
xaverius_a@jnxjn.com,treatment,personalization,0
delliamardhiah_8@mail2pennsylvania.com,treatment,personalization,0
cutmahfudzah7q@mail2matthew.com,treatment,personalization,0
amirx1a@hangglidemail.com,treatment,personalization,1
lutfiyahkfj@mail2scorpio.com,control,generic,0
paridahom@mailc.net,control,generic,0
budimansetiawan9@sailormoon.com,treatment,personalization,0
sumitrarizkib3@gishpuppy.com,treatment,personalization,1
kamaruzzamane@topsurf.com,control,generic,0
basri37@mail2oslo.com,control,generic,1
meilaniesitik@ancestry.com,control,generic,1
wiraafrizaly@fromwashingtondc.com,treatment,personalization,0
hafisahb@mail2earl.com,control,generic,0
setyawatic@mail2northpole.com,treatment,personalization,0
wachida7u@nirvanafan.com,control,generic,1
alzenamadepq@clerk.com,control,generic,1
hermawano@mail2chad.com,control,generic,0
hanungmuhyiddinp9z@onlinecasinogamblings.com,control,generic,0
marlika@citynetusa.com,control,generic,0
desiyantihabibahjwi@mail2gavin.com,treatment,personalization,0
dwinurdinu@moakt.com,control,generic,0
alien@whoopymail.com,treatment,personalization,0
komarudin8k@mail2randy.com,control,generic,0
bentangcandra2k@cs.com,treatment,personalization,0
ardyisnin@hilarious.com,treatment,personalization,0
ratnasarinorjannahv@coolgoose.com,control,generic,0
apriliaqt@cybermail.net,control,generic,0
kamaludin_@newmail.ru,treatment,personalization,1
marwanmahfude@justemail.net,treatment,personalization,0
priniai@mail2football.com,treatment,personalization,0
megapurnomo@oddpost.com,treatment,personalization,0
faesalq3o@frapmail.com,control,generic,0
aladin2o@mail2chinese.com,control,generic,0
zulfadlizulkarnaen@mail2eric.com,control,generic,0
jihanwangiz3@frommissouri.com,control,generic,0
liliyanas6@slaskpost.se,treatment,personalization,0
suryanticandrawati3pn@bladesmail.net,treatment,personalization,0
purnomo@mail2ireland.com,control,generic,1
faishalafrizalc_2@mailcan.com,treatment,personalization,0
priyonoa@gospelfan.com,control,generic,0
asiyahnurmala8mp@obobbo.com,treatment,personalization,0
dillah7eb@netexecutive.com,control,generic,0
shofiahxhc@brestonline.com,control,generic,0
saepudinafendime@seductive.com,treatment,personalization,0
nurdin@fromhawaii.net,treatment,personalization,0
ratnacandralukyk@puppy.com.my,treatment,personalization,0
jagamulyonou@mail2dallas.com,control,generic,0
maulinazaenabxez@busymail.comhomeart.com,control,generic,0
mand4@anytimenow.com,treatment,personalization,0
hamdiahhafizaq@lamer.hu,control,generic,0
ipakhairunisadtl@healthemail.net,treatment,personalization,0
alimahfitrianin@spybox.de,control,generic,1
irawatymaizah5b@taotaotano.com,control,generic,1
hasyimkurniawan@sanchezsharks.com,control,generic,0
kartikapuspita__@list.ru,control,generic,0
sylvianac1@sinamail.com,control,generic,0
hasibahnuraenien@mail2biker.com,treatment,personalization,0
malikussalehb@fromohio.com,treatment,personalization,1
akifahjamilahp8v@domforfb8.tk,treatment,personalization,0
hartinahvzo@mail2lucy.com,treatment,personalization,0
yunitao93@pechkin.ru,treatment,personalization,0
hilmiandri7um@golfilla.info,treatment,personalization,1
vinasuriani7p@vnn.vn,control,generic,0
falyap@mail2beijing.com,control,generic,0
suryawatih7a@tmicha.net,control,generic,0
baskoroanes70@yahoo.fr,treatment,personalization,1
buana4o@eatmydirt.com,treatment,personalization,0
raihanahwarda2@mail2rusty.com,control,generic,0
karimahby8@fishburne.org,control,generic,0
mahfudzahwm7@fastmail.us,treatment,personalization,0
memoirandi7ck@resumemail.com,treatment,personalization,0
apfia4ib@extenda.net,control,generic,1
suwarnolatipl@walala.org,control,generic,0
zevajihaniq6@curryworld.de,control,generic,0
mahfudinderaib@epost.de,control,generic,0
setiawanamier2e@kiwitown.com,treatment,personalization,0
encep5d@mailasia.com,treatment,personalization,0
tsarinatn@owlpic.com,control,generic,0
japamegawatik@bt.com,treatment,personalization,0
raharjoafdaloe@tamb.ru,treatment,personalization,1
rochanirp@healthemail.net,treatment,personalization,1
bintanguw@mail2dan.com,treatment,personalization,0
rivinyosuatf@yahoo.ro,control,generic,0
eufrasiaputry@roanokemail.com,treatment,personalization,0
senindewa8@eintagsmail.de,treatment,personalization,1
nurmalita39@walla.co.il,control,generic,1
haniahanindita@mail2trump.com,treatment,personalization,0
suhartolqq@fastmail.com,treatment,personalization,1
sitiv@dawnsonmail.com,control,generic,0
chairulu@lycos.co.uk,treatment,personalization,0
habibah@the-airforce.com,treatment,personalization,0
nurmah4@thelimestones.com,control,generic,0
waliyuddinkhrisna5r@photographer.net,treatment,personalization,0
apriliakhairiyah@spamslicer.com,treatment,personalization,0
kamelialenitadfs@mail2neil.com,treatment,personalization,1
bintangdhana7au@macbox.com,treatment,personalization,0
aviana8@baldmama.de,treatment,personalization,1
sintamastura7@from-outerspace.com,control,generic,0
keumalahayatiyy@noavar.com,treatment,personalization,1
niovv@deskpilot.com,treatment,personalization,1
lestarixm@expressasia.com,control,generic,0
tembangjahja5@noblepioneer.com,treatment,personalization,1
hafisah@o2.pl,treatment,personalization,0
annisah@registerednurses.com,control,generic,0
jefrij@upc.nl,treatment,personalization,0
agoengvt@rotfl.com,control,generic,0
muthiap6f@mail2blues.com,treatment,personalization,0
bentangmunawart0@ovpn.to,treatment,personalization,0
haryv0@townisp.com,control,generic,1
rizalzulkifli@mailsiphon.com,control,generic,0
widodonoerdin5@thexyz.com,control,generic,1
firarizka31n@mail2comedian.com,treatment,personalization,0
whisnui@mail2dude.com,control,generic,0
sakinahervianary@mail2hank.com,treatment,personalization,0
chairunisaf5@cornerpub.com,treatment,personalization,0
priyoceceng3k@yahoo.net,control,generic,0
yosuajusufv@mailme.dk,control,generic,0
noeryana5n@ididitmyway.com,treatment,personalization,0
daudeq@sudoverse.net,treatment,personalization,0
angkasa_@mail2yes.com,control,generic,0
hendrarasyadb4@indocities.com,control,generic,1
rivinah9@computermail.net,control,generic,0
muhammadctr@the18th.com,treatment,personalization,1
ahdii@mail2juan.com,treatment,personalization,1
retifatheressiaqs@trash-mail.at,control,generic,0
ahmadfahmie8lm@mail2sail.com,control,generic,0
nanikkasih48@postmark.net,treatment,personalization,0
raffirizal3r@siteposter.net,treatment,personalization,0
kamaruzzamanjwa@objectmail.com,treatment,personalization,1
ratnacandracandra@ro.ru,control,generic,0
zamzami@freedom.usa.com,treatment,personalization,0
yoshamelatiq3@technisamail.co.za,control,generic,0
basyir_@bettergolf.net,treatment,personalization,1
nikson6@kaixo.com,control,generic,0
zaenabchodijaha@artlover.com,control,generic,0
livikhairunisaay@mycleaninbox.net,treatment,personalization,0
arif@donegal.net,control,generic,0
banyuiwans@mail2doctor.com,control,generic,0
oshadewianad@16mail.com,control,generic,0
effendy5@lavache.com,control,generic,1
agoeszdq@eastmail.com,control,generic,0
zamzambalikve@from-spain.net,treatment,personalization,0
najibah2@brew-meister.com,control,generic,0
dhana@mail2fiji.com,control,generic,0
riduanfn@secretemail.de,treatment,personalization,0
achmada2a@mail2heidi.com,treatment,personalization,0
susilatana1@xmail.com,treatment,personalization,0
adithyamuslim2@ag.us.to,treatment,personalization,0
haedarmarno@china.com,treatment,personalization,0
bulansitieco@ecbsolutions.net,control,generic,0
cahyadifajarv@centermail.com,control,generic,0
ceudahm@ml1.net,control,generic,1
basuki7x@7mail.ml,treatment,personalization,1
zulkiflysuparman_bs@mail2everything.com,treatment,personalization,0
andinitheressia_c@mail2search.com,control,generic,0
abdulfandy@spl.at,control,generic,1
hamdansuparman3i@yahoo.cn,treatment,personalization,0
susiloc@ukbuilder.com,control,generic,0
hakiemx@opoczta.pl,control,generic,0
chrismansyahdeksfv@partlycloudy.com,control,generic,0
ceudahfairuzaht@mail2lust.com,control,generic,0
malikixff@mail2studio.com,control,generic,0
isninjk@everymail.net,treatment,personalization,0
soeriantomulyanab@fastmail.in,treatment,personalization,1
yesayalatipr_x@ilovejesus.com,control,generic,0
kamaruzzamanp@yahoo.net,treatment,personalization,0
wibawamursyidb@blink182.net,treatment,personalization,0
saniahf97@wegwerfemail.de,control,generic,1
sundarik@wtvhmail.com,treatment,personalization,0
hanifah4@oldies104mail.com,treatment,personalization,0
puspa1i@mail2zephir.com,control,generic,0
lestarisariwatii4@racingfan.com.au,treatment,personalization,1
nyomanika@hkg.net,treatment,personalization,0
shianewahidahb@mail2missouri.com,treatment,personalization,1
gandungdurahman62@shieldedmail.com,treatment,personalization,1
aninditavnx@outlook.in,treatment,personalization,0
abdurrasyidabdrahmanx@totalmail.de,control,generic,0
kuat4l@timormail.com,treatment,personalization,0
skolastikao6i@from-outerspace.com,treatment,personalization,0
masturahwidia0@teleworm.us,control,generic,1
farhanahratih5@apexmail.com,control,generic,0
joesoefkrisno@sci.fi,treatment,personalization,0
durahmanhendra@mail2join.com,control,generic,0
imanz@correo.terra.com.gt,control,generic,0
adhityazulkhairie@mail2caterer.com,control,generic,1
moammarbudiman@alivance.com,treatment,personalization,0
arsalyb@webprogramming.com,treatment,personalization,0
hidayatai2@andylau.net,treatment,personalization,0
rata3r@fatyachts.com,control,generic,0
suryackm@mailinator.us,treatment,personalization,0
ishak5lr@mail2estonia.com,control,generic,0
achmadhafidzm6@xmastime.com,treatment,personalization,1
chaidarf57@leehom.net,treatment,personalization,0
karimahfakhriahur@bluemail.dk,control,generic,0
kartikadp@radiku.ye.vc,control,generic,0
machmud96@whipmail.com,control,generic,0
azimahzalmazfl@mail2uk.com,control,generic,1
gracellasvg@mlb.bounce.ed10.net,treatment,personalization,0
efendi8d@internetbiz.com,control,generic,1
husinlukman9@mail2melissa.com,control,generic,0
wisnurizalt@33mail.com,control,generic,0
azan@mail2utah.com,treatment,personalization,0
ardy9t_@peachworld.com,control,generic,0
kusumakadek0_@informaticos.com,control,generic,0
nurma9t@mail2bernard.com,treatment,personalization,0
setyawatio@scottishmail.co.uk,treatment,personalization,0
khrisnahakiemdv@typemail.com,control,generic,0
bernardiasintaye@4warding.com,control,generic,0
farhanahatirah9il@au.ru,treatment,personalization,0
agnifadlan@federalcontractors.com,treatment,personalization,0
rikanbd@eresmas.com,treatment,personalization,1
ridhom_@mail2lao.com,control,generic,0
sofyanyakobusx@backfliper.com,treatment,personalization,0
boentoroe@mail2black.com,treatment,personalization,1
nengahkv3@tbwt.com,treatment,personalization,0
priskiananurhasanahz@i-love-cats.com,treatment,personalization,0
muchammad1@tempmaildemo.com,treatment,personalization,1
nadimah62@email.ru,treatment,personalization,1
fachryjanurixpj@lakmail.com,treatment,personalization,1
rochani2q@mail2algeria.com,control,generic,0
edhiibrahimpt@yahoo.com.sg,control,generic,1
rahmat_@ummah.org,treatment,personalization,0
galihsurianao1y@mail2letter.com,control,generic,0
roestamsubrotod@imstressed.com,control,generic,0
livitiyana@every1.net,treatment,personalization,0
yeremiamuslim08@fake-mail.cf,treatment,personalization,1
meitaalimahps@mailftp.com,control,generic,0
anwarujangm@lolnetwork.net,treatment,personalization,0
wibawaluthfis9@soodomail.com,control,generic,0
ayinsitir@sniper.hu,treatment,personalization,0
buanamuslim0@mail2stanley.com,treatment,personalization,0
yudamatheas4@for-president.com,treatment,personalization,1
cahyaningsihseri@lackmail.ru,control,generic,0
adenanmuslim6@mail2lynn.com,control,generic,0
darmaaditia6@mail.pt,control,generic,0
erwianadewiana_x5@mail2sexy.com,treatment,personalization,1
tri@mail2miracle.com,treatment,personalization,0
junaediputra6@mail2taz.com,treatment,personalization,0
hasibah_@asean-mail,treatment,personalization,0
zulkarnaingandungn@fromminnesota.com,treatment,personalization,0
mamattaufiq61@otakumail.com,control,generic,0
nengahliang40@mail2carolyn.com,control,generic,0
dekssyarif@outlook.com.gr,control,generic,0
keumala_p@ghanamail.com,treatment,personalization,0
cucu50@roosh.com,treatment,personalization,0
sopiahrm@4mg.com,control,generic,0
edhiee5t@tiscali.be,control,generic,0
najibahdfb@disposableinbox.com,treatment,personalization,0
nuraisyahnurhayatid6@mail2gary.com,control,generic,0
sumitra@mail2jumbo.com,treatment,personalization,0
dewir@uomail.com,control,generic,1
nurjannahzaenab@qatarmail.com,control,generic,0
solehhv@nowhere.org,control,generic,0
gugum1b@cox.net,control,generic,1
ahdiaswin2z@zdorovja.net,treatment,personalization,0
ependi06@sagra.lu,treatment,personalization,0
donisetiawanwi@the-captain.com,control,generic,1
mawarl@rsub.com,treatment,personalization,0
nafisahratup2@unican.es,control,generic,1
teguhazisb@dmitry.ru,treatment,personalization,0
syahidk@mail2mankind.com,treatment,personalization,1
luthfiahfauziahvb@malayalapathram.com,control,generic,0
hidayatullahairlanggax@internet-club.com,control,generic,0
murniendangf@premium-mail.fr,control,generic,1
rafianagw@mail2sean.com,treatment,personalization,0
taibagoesk1@mail2jeweler.com,treatment,personalization,1
aisyahrahmah8l@tempthe.net,treatment,personalization,0
rennyaintan@autorambler.ru,control,generic,0
fauziahfatimahnq3@gawab.com,treatment,personalization,0
rajakrisna_0@mail2tickets.com,treatment,personalization,0
nasirah_@workmail.co.za,control,generic,0
jamiluddin1@newsboysmail.com,control,generic,0
gustiazizul3x@mail2margie.com,control,generic,0
irawatykieranax@lolito.tk,control,generic,1
amsala@mail2sean.com,treatment,personalization,0
liangningsihh@yahoo.pl,control,generic,0
ujangaawsg@mail2croatia.com,treatment,personalization,1
suhartomuslimink@fortuncity.com,control,generic,0
wulandari7v@mail2airforce.com,control,generic,0
nimasd@berkscounty.com,treatment,personalization,1
kalsum_7c@the-country.com,control,generic,0
wisnubrotoxgu@gothere.uk.com,treatment,personalization,0
rasyidsubrotoak@mauana.nl,control,generic,0
ayubux@fastmail.us,control,generic,0
kuwatgunturnm@riopreto.com.br,treatment,personalization,1
chaerunnisaeko@mail2julian.com,control,generic,0
noerdin_@1chuan.com,control,generic,1
widyaningsihseptuagesimai@live.co.uk,treatment,personalization,0
marlikakm@mail2hongkong.com,control,generic,0
khairiyahfachriahj3@enel.net,control,generic,0
whisnumalikiyh@1freeemail.com,treatment,personalization,1
anes327@dvd-fan.net,treatment,personalization,1
syaripahluthfiyahoeq@mail2milkyway.com,control,generic,1
setyaningsihfitrianaha@mail2ice-cream.com,control,generic,0
danial@netfirms.com,treatment,personalization,0
basyir9@xyz.am,control,generic,0
putu8c@mail2iris.com,treatment,personalization,0
ichsan@amuromail.com,control,generic,0
andhika1@baluch.com,treatment,personalization,1
zahrahikau5@getairmail.com,treatment,personalization,0
hamdiyahpr@abdulnour.com,control,generic,0
vidiasuryawatif8@from-italy.net,treatment,personalization,1
nurhidayahazizahy0@pookmail.com,control,generic,0
afendyaditiav@mail2beach.com,control,generic,0
riwinsukarnole@7tags.com,treatment,personalization,0
gunturwidodo89@junk1e.com,control,generic,1
etik9@mail.md,control,generic,0
latipahmelurq3@bounce.net,treatment,personalization,0
ceceng0w5@0815.su,control,generic,1
rayachotijahf@nwldx.com,treatment,personalization,0
farihaho9@spacewar.com,control,generic,0
meutiaj@safetypost.de,treatment,personalization,0
aminullah23y@sukhumvit.net,treatment,personalization,0
theressiah@mail2hungary.com,treatment,personalization,0
zulkiflymukhammadk8h@lover-boy.com,treatment,personalization,0
cintamelati4gw@bigassweb.com,treatment,personalization,1
izzatiwkn@wir-haben-nachwuchs.de,control,generic,0
bahirahg@city-of-swansea.com,treatment,personalization,0
achmed_d@gramszu.net,control,generic,1
kautsarmarcem@sesmail.com,control,generic,0
rustamp@workmail.com,control,generic,0
atanasiafitriyanao@mypersonalemail.com,control,generic,0
ciptasuhaili0@oceanfree.net,treatment,personalization,1
sarih@mail2northdakota.com,treatment,personalization,0
dillahsr@mail2caroline.com,treatment,personalization,1
hartogedeay3@rodrun.com,control,generic,1
agungbudhir69@safersignup.de,treatment,personalization,1
batman0@oldbuthealthy.com,treatment,personalization,0
afdhal7y@mail-center.com,control,generic,0
irawati@mail2freddie.com,control,generic,0
muhaiminrachmana@sofimail.com,treatment,personalization,0
muchamadbanyuqh@yours.com,treatment,personalization,0
muin3f@lakmail.com,treatment,personalization,0
deuisgracelia@360.ru,treatment,personalization,0
tousakomariahqup@tortenboxer.de,treatment,personalization,0
rizkynioae8@mail2eu.com,treatment,personalization,1
deasypuspitap@coid.biz,treatment,personalization,1
marlikamulyaningsiha8@slaskpost.se,treatment,personalization,0
subratado7@pakistanoye.com,treatment,personalization,0
fakhriyahor@toolsource.com,control,generic,0
hawariahevanovagd@rediff.com,control,generic,0
abdiqj9@vcmail.com,control,generic,0
ratrirahmawatixm6@mail2billy.com,control,generic,0
noldisoekarnoz@optonline.net,treatment,personalization,0
mulyanaw@nightmail.ru,treatment,personalization,0
prettyh_8@1mail.net,control,generic,0
junitamaimunahc_d@mail2marsha.com,treatment,personalization,1
muchtarq@maildrop.cc,control,generic,0
elyasr5z@mail2cliff.com,treatment,personalization,1
mutyapertiwikyb@spamday.com,control,generic,1
wirantoacengf@mail2computers.com,control,generic,0
abdurachmanhidayati0m@nospamfor.us,control,generic,1
cintau@balochistan.org,treatment,personalization,0
mansurchairuld@cynetcity.com,control,generic,1
taibeq@anjungcafe.com,control,generic,0
meilisa7r@lovetohike.com,treatment,personalization,0
kasih88@mail2sound.com,control,generic,0
wilsapurnamatkn@mail2diane.com,treatment,personalization,0
cahyaskp@emailgroups.net,control,generic,0
jeumpad9e@0-mail.com,control,generic,0
wilsa3@collegeclub.com,treatment,personalization,0
retifau8a@in2jesus.com,control,generic,1
hitleriskandarin@usmc.net,treatment,personalization,0
dhiena@teenagedirtbag.com,treatment,personalization,0
pratiwiindahb@mail2arnold.com,control,generic,0
yuda6f@mail2hindu.com,control,generic,0
nabilahekayo@polizisten-duzer.de,treatment,personalization,0
jamiluddinhu@parsmail.com,treatment,personalization,0
komarudinkomaryou@busymail.com,control,generic,0
rafiqahbkm@trash2009.com,control,generic,0
hasanahiisxg@mynetstore.de,treatment,personalization,0
wulandarisetiawati6@mail2maldives.com,treatment,personalization,0
abdrazaksuryoo21@soon.com,control,generic,1
achmadmemet7@clearwire.net,control,generic,1
aai@girlsundertheinfluence.com,control,generic,1
subektizulkarnainr@owlpic.com,treatment,personalization,0
kawasamustofae@mailtv.net,control,generic,1
wangiok@mail2painter.com,treatment,personalization,0
hilmiabdurrahimiy8@emailer.hubspot.com,treatment,personalization,0
nurulhawariahtt@eastcoast.co.za,treatment,personalization,0
rohim7vd@bunko.com,control,generic,0
japamutya76@gehensiemirnichtaufdensack.de,treatment,personalization,0
suriana8@skunkbox.com,control,generic,0
bellia_@mail2recycle.com,control,generic,0
zulkifly6i@slo.net,treatment,personalization,0
halidasaidahky@shaw.ca,treatment,personalization,0
hasyimi6@the-prayer.com,control,generic,0
iwangusti@cornells.com,control,generic,1
bintidelima0n@lex.bg,control,generic,0
khaerunisao@strongguy.com,treatment,personalization,0
wisnubrotozkl@spamslicer.com,control,generic,1
bonifasiusi@idigjesus.com,control,generic,1
ipa6y@frommaryland.com,treatment,personalization,0
tipahzubaidah70@mail2indonesia.com,control,generic,1
fachrih@itmom.com,control,generic,1
eufrasiahasanah@dropmail.me,control,generic,1
fendybasriwp@disposableinbox.com,control,generic,1
majidahnajibahfrl@givepeaceachance.com,control,generic,0
abdurrahmanrafi@mail2ohio.com,treatment,personalization,0
feriskab@messagez.com,control,generic,1
lestari@thexyz.cn,treatment,personalization,0
fajarc@nogmailspam.info,treatment,personalization,0
salimahkhairiahl@nextmail.ru,control,generic,0
ambareha4hf@femenino.com,control,generic,0
wisnubrotozulhelmioa@artman-conception.com,control,generic,1
sophianrohim02s@mail2franklin.com,treatment,personalization,1
ardijec@webdream.com,treatment,personalization,0
meitapuspitaj08@mail2christmas.com,control,generic,1
tirtar@mail2pisces.com,treatment,personalization,0
japat@mail2oliver.com,control,generic,1
agus_b@aristotle.org,treatment,personalization,0
wawanu@money.net,treatment,personalization,0
kamaludinnoerdinwc@mail2french.com,control,generic,0
budionoazmi1f@webaddressbook.com,treatment,personalization,0
wandi4@jordanmail.com,control,generic,0
priyanto4@mailbr.com.br,control,generic,1
setyaningsihrizqiyaningsih4hx@home.ro,treatment,personalization,0
salmahyunitau@retailfan.com,control,generic,0
watis@ip6.pp.ua,control,generic,0
guruhalifgz@emailengine.org,treatment,personalization,0
atirah7c@mail2russia.com,control,generic,1
nimatullahyoh@fastmail.im,treatment,personalization,1
yakobus87@goplay.com,treatment,personalization,1
utaricitraj9@wollan.info,control,generic,1
husnahatiyahr@mail2college.com,control,generic,0
jamiluddin8i@jazzandjava.com,treatment,personalization,0
hamzahc@emailx.net,treatment,personalization,0
widiyantozulkifliodm@mail2stephanie.com,control,generic,0
intanervianaqp@palestinemail.com,treatment,personalization,0
ibrahimbonifasiusrf@xoommail.com,treatment,personalization,0
andi7z4@date.by,treatment,personalization,1
jamaludinafdhalf4@mail2optometrist.com,treatment,personalization,0
abdrazake7@jetable.net,control,generic,0
chairuddinagnip@ipdeer.com,control,generic,0
yatnobudionob@freebox.com,treatment,personalization,0
nio@mail2vickie.com,control,generic,0
mahmudielyasdd@astrosfan.com,control,generic,0
kalsum0@mail2lawrence.com,treatment,personalization,0
khalisahaisyahjb@imel.org,treatment,personalization,1
adityoslametv@singpost.com,treatment,personalization,0
efendi@canada.com,control,generic,1
jesie0t@150ml.com,control,generic,0
darmawatisamirahh@mail2maryland.com,treatment,personalization,0
batarij@mail2ok.com,treatment,personalization,0
kasepmamatf@margarita.ru,treatment,personalization,1
megobp@legalrc.loan,treatment,personalization,1
kadek@outlook.at,treatment,personalization,0
fandisubroto0vd@mail2india.com,control,generic,0
darmobudionog58@tiscali.be,control,generic,0
acmadmuhaiminm@anti-ignorance.net,control,generic,0
tut_jc@oopi.org,treatment,personalization,1
zulhadi@cnnsimail.com,control,generic,0
misbahanindya3t2@die-genossen.de,treatment,personalization,0
hafidzahf@k.ro,control,generic,0
susilaabdurrasyid@mail2guatemala.com,treatment,personalization,0
adityasmuhtadin_d@hidzz.com,treatment,personalization,0
faizahsyaripahm@chatlane.ru,treatment,personalization,0
zalmatijahmd6@mail2mexican.com,treatment,personalization,1
yudoau@spambog.net,control,generic,0
mardhiahkl@mail2touch.com,treatment,personalization,0
delimawayanyd3@looksmart.com,control,generic,0
atanasiaatiahww@xpectmore.com,control,generic,0
melurrindu6@test.de,treatment,personalization,0
respatimuliana7l@yahoo.fr,treatment,personalization,0
aditya@twentylove.com,control,generic,0
cinduabudhypg@indus.ru,control,generic,1
sylvianazs1@spankthedonkey.com,control,generic,0
mansyuruh@latemodels.com,control,generic,0
rahmawatimeutia2@postmark.net,treatment,personalization,0
memedzulhadi@mail4trash.com,treatment,personalization,0
zidanealiy@freebox.com,treatment,personalization,1
rachmanhafidz0f@mailnew.com,control,generic,0
raudhahxy@faroweb.com,control,generic,0
frizamunawarc7@oldies104mail.com,control,generic,0
khabib8i@quiklinks.com,treatment,personalization,0
suwarnocmg@kumarweb.com,treatment,personalization,0
muhamatg@shitaway.cu.cc,treatment,personalization,0
zulkarnaeng@ag.us.to,control,generic,0
halimahetizhx@speedrulz.com,control,generic,0
effendyt7@saudia.com,control,generic,0
ujangedhie@picusnet.com,control,generic,0
fauziahic@latinmail.com,treatment,personalization,0
madeeko8z@shortmail.net,control,generic,0
patriotlesmanau8b@buzy.com,control,generic,0
hitlerfax@ero-tube.org,control,generic,1
faesal7k@aol.com,control,generic,0
raffibudhip@userbeam.com,treatment,personalization,1
khairuddinedhiei@gfxartist.ru,control,generic,0
yudhoyonoahdixl@mail2belize.com,control,generic,0
donif@wtvhmail.com,control,generic,1
taufiqeffendiexew@tlcfan.com,control,generic,0
rina1v@veloxmail.com.br,control,generic,0
fandiues@8mail.ga,control,generic,0
hadiahoc@mail2computer.com,treatment,personalization,0
akhmatr@quiklinks.com,treatment,personalization,1
kasimfandy3r@emailtemporar.ro,treatment,personalization,0
sherly23@mjfrogmail.com,control,generic,1
agusn5@homestead.com,control,generic,0
rahmah2i@lastmail.co,control,generic,0
sadiah5@mail2idaho.com,control,generic,0
mamatkhairuli_@123qwe.co.uk,treatment,personalization,0
lestari8c7@ksanmail.com,treatment,personalization,0
gustiyl@inbox.com,control,generic,0
ratnaqc@winning.com,control,generic,0
hapsah5@email.su,treatment,personalization,1
nuraidazaitunig@sueddeutsche.de,control,generic,0
acmadd3s@leonlai.net,control,generic,0
chaerunisada@irj.hu,treatment,personalization,0
lusiannapatimahw@aaronkwok.net,control,generic,0
krisnaafdhalowv@hmamail.com,treatment,personalization,0
budiyohanessa@interia.pl,treatment,personalization,0
sukarno3@mail2troy.com,treatment,personalization,0
prasetyofahmiekv@3trtretgfrfe.tk,treatment,personalization,0
amran36@mail2white.com,treatment,personalization,0
ramlisubekti@teamtulsa.net,treatment,personalization,0
yesayaanugrahdt@mailshuttle.com,control,generic,1
rezkiwwu@qq.com,treatment,personalization,0
pratiwiannisahpcm@lovecat.com,treatment,personalization,1
zulaichakc@mail2pm.com,control,generic,0
raniahcahayakyw@1musicrow.com,control,generic,0
afdalbis1@mail2donald.com,treatment,personalization,0
eneng2rv@tempmail.it,control,generic,0
timotiusarilu@ec.rr.com,treatment,personalization,0
azimah1@mail2tonga.com,control,generic,0
